企業名,キャッチコピー,ステータス,初年度年収
東武スズキ販売株式会社 | 埼玉北部で好待遇の転職★1966年創業以来の黒字経営,ディーラーの【メカニック(整備士)】★賞与年3回★残業月10h内 正社員,正社員,350万円～450万円
株式会社ヨドバシカメラ | ◇正社員比率96.4%◇残業代100%(1分単位)支給◇社員割引制度有◇,◆正社員採用◆【配送スタッフ】★週休3日や週休4日も選べる 正社員,正社員,300万円～500万円
株式会社ラクスパートナーズ | 上場企業グループ/9割が未経験スタート/年休120日以上/残業月10h,【ITエンジニア】★3ヶ月間の研修からスタート★未経験OK 正社員,正社員,300万円～500万円
株式会社ニッショー | CMでお馴染み＃5日以上の長期休有＃多彩な手当＃コロナ対策万全,快適な暮らしを支える！【管理スタッフ】★運転免許があればOK 正社員,正社員,350万円～400万円
パーパス株式会社 | TVCMでお馴染み！創業75年の歴史をもつ安定企業,ガス給湯器の【製造（加工・溶接）】年休120日/有給1hから取得可 正社員,正社員,300万円～400万円
日立建機日本株式会社 | 年休124日/完全週休2日制/借上部屋・住宅手当など福利厚生充実,アプリ活用で効率UP★大手グループで活躍【建設機械エンジニア】 正社員,正社員,
株式会社サカイ引越センター | ◎引越業界No.1(※) ◎東証一部上場で安定 ◎有給取得可能,新生活を支える【見積もりスタッフ】★賞与年3回｜未経験歓迎 正社員,正社員,350万円～450万円
株式会社ビッグモーター | マイカー通勤OK◆年収例500万円（26歳：未経験入社3年目）,未経験歓迎★1～2時間の短距離★普通免許でOK【配送ドライバー】 正社員,正社員,300万円～700万円
日立建機日本株式会社 | 年休124日/完全週休2日制/借上部屋・住宅手当など福利厚生充実,【営業】日本の現場を動かす！世界的建機メーカー日立建機の顔★ 正社員,正社員,
株式会社優誠 | 【大阪府緊急雇用対策に賛同】ノルマなし＆成約率は50％以上！,【営業スタッフ】未経験OK／月収100万円超も可能／基本土日休み 正社員,正社員,300万円～850万円
株式会社セレブリックス | ★博報堂グループ ★未経験歓迎 ★正社員待遇で仕事と夢を両立！,★時短勤務で正社員デビュー！【販売・接客・PRスタッフ】 正社員,正社員,
株式会社タウンハウジング | 【CMも放映！今期過去最高益の見込】1都3件に101店舗展開！,個人ノルマ0のチーム接客*未経験者も安心【ルームアドバイザー】 正社員,正社員,350万円～600万円
京葉ガスエナジーソリューション株式会社 | 【設立42年・京葉ガスグループ】◆幅広いインフラ事業を展開,【総合エンジニアリング】働きやすさも待遇も、”安心”の転職を 正社員,正社員,300万円～650万円
株式会社京急システム | 京浜急行電鉄株式会社100％出資／京急グループ唯一のIT企業,京急グループの一大プロジェクトに関わる【システムエンジニア】 正社員,正社員,400万円～650万円
社会保険労務士法人ザイムパートナーズ | チャットでの情報共有、3ディスプレイなどIT化を推進！,【社労士事務所スタッフ】お客様対応業務をお任せ／フレックス制 正社員,正社員,350万円～700万円
フォーザウィン株式会社 | 上流工程から携わる/残業ほぼなし/年休125日/面接1回,【開発エンジニア】◆経験者 ◆前給以上を確約 ◆自社内開発あり 正社員,正社員,400万円～1000万円
株式会社ネクステージ | 東証・名証一部上場／転勤なし／月2日・土日祝の休み可,100%来店型【車の販売営業】※インセンだけで月収150万円可 正社員,正社員,400万円～800万円
パーパス株式会社 | TVCMでお馴染み！創業75年の歴史をもつ安定企業,エネルギー事業者向け自社システムの【ルート営業】賞与3.5ヶ月! 正社員,正社員,350万円～450万円
株式会社NST | 総合不動産企業としてグループ年商1000億円を目指して成長中！,自社ブランドマンションの【宅建事務】月給34万円～/土日祝休み 正社員,正社員,450万円～700万円
旭電業株式会社 | 【創業70年！ゲンキなデンキ人間集団】賞与10ヵ月分支給実績あり,未経験歓迎！【進行管理スタッフ】★土日祝休★年間休日120日 正社員,正社員,350万円～800万円
株式会社関東マツダ | <世界最大級の規模>★年間新車販売台数約3万台★年商1081億円,【メカニック】30歳平均年収490万/残業月平均14h/年間休日117日 正社員,正社員,300万円～450万円
株式会社T-TOP | コロナ禍でも安定ニーズ◎【大阪府緊急雇用対策に賛同】,★完全週休2日＆月給25万円～★【営業スタッフ】転勤なし！ 正社員,正社員,
茨城セキスイファミエス株式会社 | セキスイハイムグループ★マイナビ転職からの入社実績多数あり,【リフォームコーディネーター】★業界未経験OK★20～30代活躍中 正社員,正社員,400万円～750万円
グリコマニュファクチャリングジャパン株式会社 | 【江崎グリコ100％出資】◆制度が充実♪産休育休／Co育て休暇,【総合職(製造・生産管理・設備)】未経験OK・20～30代女性活躍中 正社員,正社員,350万円～450万円
J-POWERテレコミュニケーションサービス株式会社 | <東証一部上場のJ-POWERグループで安定基盤>★年間休日130日,電気通信設備の工事・保守の【技術職】★資格必須★土日祝休み 正社員,正社員,450万円～650万円
株式会社竹中道路 | 竹中工務店グループ/週休２日/経験次第で初年度年収約800万円可,賞与6ヵ月(昨年実績)【道路施工管理】週休２日／寮・各種手当有 正社員,正社員,450万円～800万円
パーパス株式会社 | TVCMでお馴染み！創業75年の歴史をもつ安定企業,エネルギー業者向けソフト設計開発・クラウド事業の【IT技術職】 正社員,正社員,350万円～450万円
株式会社マルケイ | 【 2021年健康経営優良法人認定 】※前職給与最大限考慮,元請メイン・様々な案件に携われる【 施工管理 】 正社員,正社員,400万円～1000万円
株式会社アイエム | <AIや海外案件あり>★面接1回★SESからの転職者が多数活躍中,最先端技術に挑戦できる【ITエンジニア】★開発経験があればOK！ 正社員,正社員,400万円～600万円
株式会社ラスタ工務店 | 創業62年◆コロナ禍でも増収増益◆賞与最大年3回◆年間休日118日,ブルックリンスタイルの家を手がける【現場ディレクター】<未>OK 正社員,正社員,420万円～660万円
株式会社プラウドフロー | 【モバイルに注力の第二創業期、始動】年休125日/残業月平均14h,BtoCのスマホアプリ・Webアプリで活躍！【ITエンジニア】 正社員,正社員,216万円～1000万円
株式会社ミュゼプラチナム | *＊転勤なし／コスメ社割／全身美容脱毛0円／資格不要＊*,【エステティシャン】★未経験歓迎★学歴・年齢不問★ノルマなし 正社員,正社員,350万円～450万円
パーパス株式会社 | TVCMでお馴染み！創業75年の歴史をもつ安定企業,住宅設備メーカーの【社内SE・PG】万全の育成制度でスキルアップ 正社員,正社員,350万円～450万円
株式会社Kids-UP | 全国26スクール運営＊多彩なキャリア＊年休129日＊残業ほぼなし,【総合職（スクール運営／ティーチング）】★資格不問・未経験OK 正社員,正社員,280万円～600万円
株式会社アイビス | 《 転勤なし 》お絵かきアプリ「ibisPaint」が1億3000万DL突破！,【 ITエンジニア（Web・アプリ系）】★土日祝休み｜年休125日★ 正社員,正社員,350万円～600万円
